;Fecha;Provincia;Viajeros;Comunidad;Viajeros_normalizado
693;2006-01-01;Granada;10748.0;Andalucia;0.24203936404990317
695;2006-01-01;Guipuzcoa;72.0;Pais Vasco;0.005177993527508091
697;2006-01-01;Huelva;856.0;Andalucia;0.027358731782152902
699;2006-01-01;Huesca;4360.0;Aragon;0.273903756753361
701;2006-01-01;Islas Baleares;5197.0;Islas Baleares;0.015861582739960994
703;2006-01-01;Jaen;1489.0;Andalucia;0.14220227294432242
705;2006-01-01;La Rioja;457.0;La Rioja;0.02964644826467726
707;2006-01-01;Las Palmas;248516.0;Canarias;0.7586398478544238
709;2006-01-01;Lleida;5400.0;Cataluna;0.681044267877412
711;2006-01-01;Lugo;552.0;Galicia;0.03459080085223712
713;2006-01-01;Madrid;19700.0;Comunidad de Madrid;0.26180793663450547
715;2006-01-01;Malaga;19219.0;Andalucia;0.10778721853004683
717;2006-01-01;Murcia;1604.0;Region de Murcia;0.048902439024390246
719;2006-01-01;Navarra;1613.0;Navarra;0.060405197917836946
721;2006-01-01;Santa Cruz de Tenerife;117399.0;Canarias;0.8074431208561446
723;2006-01-01;Sevilla;2704.0;Andalucia;0.0445961769993238
725;2006-01-01;Tarragona;541.0;Cataluna;0.00658142844977555
727;2006-01-01;Valencia;1713.0;Valencia;0.023386942631679546
729;2006-02-01;A Coruna;304.0;Galicia;0.01732095037319811
731;2006-02-01;Alicante;22362.0;Valencia;0.09251812133849667
733;2006-02-01;Almeria;4069.0;Andalucia;0.0756122941985357
735;2006-02-01;Asturias;938.0;Principado de Asturias;0.035791963979089556
737;2006-02-01;Barcelona;6798.0;Cataluna;0.16652377336305513
739;2006-02-01;Cadiz;1330.0;Andalucia;0.0219664062629032
741;2006-02-01;Cantabria;1292.0;Cantabria;0.04257562775983655
743;2006-02-01;Castellon;4764.0;Valencia;0.051647315185221324
745;2006-02-01;Cordoba;644.0;Andalucia;0.060108269553854766
747;2006-02-01;Girona;4004.0;Cataluna;0.02760484532599778
749;2006-02-01;Granada;13554.0;Andalucia;0.3052290231049858
751;2006-02-01;Guipuzcoa;88.0;Pais Vasco;0.006328658755843222
753;2006-02-01;Huelva;1514.0;Andalucia;0.048389158782919967
755;2006-02-01;Huesca;4234.0;Aragon;0.2659881894710391
757;2006-02-01;Islas Baleares;6328.0;Islas Baleares;0.0193134684584324
759;2006-02-01;Jaen;2420.0;Andalucia;0.23111450673288128
761;2006-02-01;La Rioja;530.0;La Rioja;0.03438209536166072
763;2006-02-01;Las Palmas;262132.0;Canarias;0.8002051401027532
765;2006-02-01;Lleida;5118.0;Cataluna;0.6454786227771472
767;2006-02-01;Lugo;390.0;Galicia;0.024439152776037098
769;2006-02-01;Madrid;20278.0;Comunidad de Madrid;0.26948940807484784
771;2006-02-01;Malaga;21912.0;Andalucia;0.12289055270463532
773;2006-02-01;Murcia;1632.0;Region de Murcia;0.04975609756097561
775;2006-02-01;Navarra;1882.0;Navarra;0.07047897240010485
777;2006-02-01;Santa Cruz de Tenerife;117268.0;Canarias;0.8065421332086165
779;2006-02-01;Sevilla;2568.0;Andalucia;0.04235317401415071
